CASNumber	CASStandard	ChemicalNumber	Category	SortCAS	SortName	FullChemicalName	Chemical	Added	ToxicitySource	RfCInhale	RfCUF	RfCMF	RfCConf	RfCSource	RfCListingDate	RFDOral	RfDUF	RfDMF	RfDConf	RfDListingDate	RfDSource	UnitRiskInhale	QSTAROral	WOE	UnitRiskListingDate	UnitRiskSource	QStarListingDate	QStarSource	WOEListingDate	WOESource	ITW	OTW	ToxicityClassOral	ToxicityClassInhale	ToxicityCategory	AirDecay	Koc	H2ODecay	LOGKow	Kd	WaterSolubility	POTWPartitionRemoval	POTWPartitionSludge	POTWPartitionVolat	POTWPartitionBiod	IncineratorDRE	BCF	Henrys	MCL	MolecularWeight	T33_50Flag	HAPFlag	CAAFlag	PriorityPollutantFlag	SDWAFlag	CERCLAFlag	OSHACarcinogens	ExpansionFlag	CoreChemicalFlag	MiniCoreChemicalFlag	Core98ChemicalFlag	HPVFlag	HPVChallenge	PBTFlag	Metal	UserTag1	UserTag2	UserTag3	UserTag4	UserTag5	HasTox	MaxTW
"79107"	"79-10-7"	11	"<Not Assigned>"	79107	"Acrylic acid"	"Acrylic acid"	"Acrylic acid"	1987	"IRIS 4/1997"	0.0010	300	1	"M"	"IRIS"	"5/1/1995"	0.5	100	1	"H"	"5/1/1994"	"IRIS"										1800	1	"Non-carcinogen"	"Non-carcinogen"	"Non-carcinogen"	0.0263			0.35		1000000	92.07	0.37	0.011	99.62	99.0	3.2	0.00000037		72.06	0	1	0	0	0	1	0	0	1	1	1	1	"2"	0	"CNM"						1	1800
"107131"	"107-13-1"	12	"<Not Assigned>"	107131	"Acrylonitrile"	"Acrylonitrile"	"Acrylonitrile"	1987	"IRIS 4/1997, OPP 2/1997"	0.0020	1000	1	"M"	"IRIS"	"12/1/1991"	0.0010	1000			"6/15/1993"	"OPP"	0.068	0.54	"B1"	"1/1/1991"	"IRIS"	"1/1/1991"	"IRIS"	"1/1/1991"	"IRIS"	900	1100	"Carcinogen"	"Non-carcinogen"	"Mixed"	0.0111	9	6.1E-8	0.25		74500	92.19	0.36	1.12	98.51	99.0	48	0.00013800000000000002		53.06	0	1	1	1	0	1	1	0	1	1	1	1	"2"	0	"CNM"						1	1100
"15972608"	"15972-60-8"	13	"<Not Assigned>"	15972608	"Alachlor"	"Alachlor"	"Alachlor"	1995	"IRIS 4/1997, HEAST 7/1997"							0.01	100	1	"H"	"9/1/1993"	"IRIS"		0.08	"B2"			"7/1997"	"HEAST"	"7/1997"	"HEAST"	160	160	"Carcinogen"	"Carcinogen*"	"Carcinogen"	0.122	191		3.52		240	88.75	8.17	0.0	91.83	99.0	280	0.0000000223	0.0020	269.77	0	0	0	0	1	0	0	1	0	1	1	0		0	"NM"						1	160
"116063"	"116-06-3"	14	"<Not Assigned>"	116063	"Aldicarb"	"Aldicarb"	"Aldicarb"	1995	"OPP 11/2003"							5.0E-5	1000			"7/2002"	"OPP"			"E"					"9/15/1998"	"OPP"	10000	10000	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.0249	21	6.31E-7	1.13		6030	45.58	2.46	0.0	97.52	99.0	42	0.00000000144	0.0030	190.27	0	0	0	0	0	1	0	1	0	1	1	0		0	"NM"						1	10000
"309002"	"309-00-2"	15	"<Not Assigned>"	309002	"Aldrin"	"Aldrin"	"Aldrin"	1987	"IRIS 4/1997"							3.0E-5	1000	1	"M"	"3/1/1988"	"IRIS"	4.9	17.0	"B2"	"7/1/1993"	"IRIS"	"7/1/1993"	"IRIS"	"7/1/1993"	"IRIS"	35000	34000	"Carcinogen"	"Carcinogen"	"Carcinogen"	0.174	8220	3.8E-5	6.5		0.017	98.96	62.16	0.03	37.81	99.0	3715	0.000044		364.92	0	0	0	1	0	1	0	0	0	0	0	0		1	"NM"						1	35000
"107186"	"107-18-6"	16	"<Not Assigned>"	107186	"Allyl alcohol"	"Allyl alcohol"	"Allyl alcohol"	1990	"IRIS 4/1997"							0.0050	1000	1	"L"	"8/1/1989"	"IRIS"										100	100	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.07	2		0.17		1000000	92.07	0.37	0.054	99.59	99.0	3.2	0.00000499		58.08	0	0	1	0	0	1	0	0	0	1	1	1	"2,4"	0	"NM"						1	100
"107051"	"107-05-1"	17	"<Not Assigned>"	107051	"Allyl chloride"	"Allyl chloride"	"Allyl chloride"	1987	"IRIS 4/1997, CalEPA 5/2001"	0.0010	3000	1	"L"	"IRIS"	"5/1/1995"							0.0060		"C"	"4/1999"	"CalEPA"			"8/1/1994"	"IRIS"	1800	1800	"Non-carcinogen*"	"Non-carcinogen"	"Non-carcinogen"	0.0459	50		1.93		3370	84.36	0.83	81.86	17.31	99.0	17	0.011		76.53	0	1	0	0	0	1	0	0	1	1	1	1	"2"	0	"CNM"						1	1800
"107119"	"107-11-9"	18	"<Not Assigned>"	107119	"Allylamine"	"Allylamine"	"Allylamine"	1995																												0.151	2		0.03		1000000	75.18	0.82	0.43	98.74	99.0	3.2	0.0000182		57.1	0	0	1	0	0	0	0	1	0	1	1	0		0	"NM"						0	
"7429905"	"7429-90-5"	19	"<Not Assigned>"	7429905	"Aluminum (fume or dust)"	"Aluminum (fume or dust)"	"Aluminum (fume or dust)"	1987	"final derived"	0.0050	300		"M"	"final derived"	"1/8/1998"	0.1			"L"	"1/8/1998"	"final derived"			"D"					"1/8/1998"	"final derived"	360	5	"Non-carcinogen"	"Non-carcinogen"	"Non-carcinogen"		14		0.33	4	59400	66.39	100.0	0.0	0.0		231	0.0245		26.98	0	0	0	0	1	0	0	0	1	1	1	0		0	"CM"						1	360
"1344281"	"1344-28-1"	20	"<Not Assigned>"	1344281	"Aluminum oxide (fibrous forms)"	"Aluminum oxide (fibrous forms)"	"Aluminum oxide (fibrous forms)"	1987																													81		-0.83			1.85	95.14	0.0	4.86		3.2			101.96	0	0	0	0	0	0	0	0	0	1	1	0		0	"M"						0	
"20859738"	"20859-73-8"	21	"<Not Assigned>"	20859738	"Aluminum phosphide"	"Aluminum phosphide"	"Aluminum phosphide"	1995	"OPP 11/2003"							0.0113	100			"6/1998"	"OPP"											44	"Non-carcinogen"	"n/a"	"Non-carcinogen"		14		-0.17		192000	1.85	95.14	0.0	4.86		3.2			57.96	0	0	0	0	0	1	0	1	0	1	1	0		0	"M"						1	44
"834128"	"834-12-8"	22	"<Not Assigned>"	834128	"Ametryn (N-Ethyl-N'-(1-methylethyl)-6-(methylthio)-1,3,5,-tr"	"N-Ethyl-N'-(1-methylethyl)-6-(methylthio)-1,3,5,-triazine- 2,4 diamine"	"Ametryn"	1995	"IRIS 4/1997"							0.0090	1000	1	"L"	"11/1/1989"	"IRIS"										56	56	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.077	389		2.98		209	54.71	6.96	0.0	93.04	99.0	110	0.00000000243		227.33	0	0	0	0	0	0	0	1	0	1	1	0		0	"NM"						1	56
"82280"	"82-28-0"	23	"<Not Assigned>"	82280	"Amino-2-methyl-anthraquinone"	"1-Amino-2-methyl-anthraquinone"	"1-Amino-2-methyl-anthraquinone"	1987																												0.139	8000		4.07		0.332	86.22	24.3	0.0	75.7	99.0	730	0.00000000000124		237.26	0	0	0	0	0	0	1	0	1	1	1	0		0	"CNM"						0	
"117793"	"117-79-3"	24	"<Not Assigned>"	117793	"Aminoanthraquinone"	"2-Aminoanthraquinone"	"2-Aminoanthraquinone"	1987																												0.114	11800		3.31		0.163	48.36	3.91	0.0	96.09	99.0	190	0.0000000000919		223.23	0	0	0	0	0	0	1	0	1	1	1	0		0	"CNM"						0	
"60093"	"60-09-3"	25	"<Not Assigned>"	60093	"Aminoazobenzene"	"4-Aminoazobenzene"	"4-Aminoazobenzene"	1987																												0.117	650		3.41		32	65.22	11.73	0.0	88.27	99.0	230	0.000000000087		197.24	0	0	0	0	0	0	1	0	1	1	1	0		0	"CNM"						0	
"92671"	"92-67-1"	26	"<Not Assigned>"	92671	"Aminodiphenyl"	"4-Aminodiphenyl"	"4-Aminodiphenyl"	1987																												0.217	223		2.86		223.9	52.74	6.05	0.0	93.95	99.0	88	0.000000146		169.23	0	1	0	0	0	1	1	0	1	1	1	0		0	"CNM"						0	
"33089611"	"33089-61-1"	27	"<Not Assigned>"	33089611	"Amitraz"	"Amitraz"	"Amitraz"	1995	"IRIS 4/1997, OPP 8/2000, OPP 11/2003"							0.0025	100	1	"M"	"12/1/1988"	"IRIS"		0.05	"C"			"10/31/1990"	"OPP"	"10/31/1991"	"OPP"	200	200	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.36	4400		5.5		1	99.3	50.05	0.0	49.95	99.0	8900	0.00000987		293.42	0	0	0	0	0	0	0	1	0	1	1	0		0	"NM"						1	200
"61825"	"61-82-5"	28	"<Not Assigned>"	61825	"Amitrole"	"Amitrole"	"Amitrole"	1994	"OPP 8/2000"														1.13	"B2"			"11/30/1992"	"OPP"	"11/30/1992"	"OPP"	2300	2300	"Carcinogen"	"Carcinogen*"	"Carcinogen"	0.0149	4.4		-0.86		280000	45.42	2.38	0.0	97.62	99.0	3.2	0.000000000000221		84.08	0	0	0	0	0	1	1	0	0	1	1	0		0	"NM"						1	2300
"7664417"	"7664-41-7"	29	"<Not Assigned>"	7664417	"Ammonia"	"Ammonia"	"Ammonia"	1987	"IRIS 4/1997"	0.1	30	1	"M"	"IRIS"	"5/1/1991"																18		"n/a"	"Non-carcinogen"	"Non-carcinogen"		14		0.23		482000	59.9	0.0	0.0	100.0		3.2	0.0000161		17.03	0	0	1	0	0	1	0	0	0	1	1	0		0	"NM"						1	18
"6484522"	"6484-52-2"	30	"<Not Assigned>"	6484522	"Ammonium nitrate (solution)"	"Ammonium nitrate (solution)"	"Ammonium nitrate (solution)"	1987																												9.72E-4	14		-4.39		2000000	1.85	94.59	0.0	4.86	99.0	3.2	0.0000000000000123		80.04	0	0	0	0	0	0	0	0	0	0	0	0		0	"NM"						0	
"101053"	"101-05-3"	31	"<Not Assigned>"	101053	"Anilazine"	"4,6-Dichloro-N-(2-chlorophenyl)-1,3,5-triazin-2-amine"	"Anilazine"	1995	"OPP 2/1997"							4.0E-4	3000			"no date"	"OPP"										1300	1300	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.116	1400		3.88		8	80.63	20.0	0.0	80.0	99.0	520	0.000000000281		275.53	0	0	0	0	0	0	0	1	0	1	1	0		0	"NM"						1	1300
"62533"	"62-53-3"	32	"<Not Assigned>"	62533	"Aniline"	"Aniline"	"Aniline"	1987	"IRIS 4/1997, CalEPA 5/2001"	0.0010	3000	1	"L"	"IRIS"	"12/1/1993"							0.0016	0.0057	"B2"	"4/1999"	"CalEPA"	"2/1/1994"	"IRIS"	"2/1/1994"	"IRIS"	1800	11	"Carcinogen"	"Non-carcinogen"	"Mixed"	0.3	240		0.9		36000	92.09	0.38	0.022	99.6	99.0	9.3	0.00000202		93.13	0	1	0	0	0	1	0	0	1	1	1	1	"2"	0	"CNM"						1	1800
"90040"	"90-04-0"	33	"<Not Assigned>"	90040	"Anisidine, o-"	"o-Anisidine"	"o-Anisidine"	1987	"final derived, interim derived"	2.0E-4	1000		"L"	"interim derived"		0.0040	10000		"L"		"final derived"		0.8	"C"				"final derived"		"final derived"	9000	160	"Carcinogen"	"Non-carcinogen"	"Mixed"	0.254			1.18		9598	75.19	0.88	0.0	99.12	99.0	4.6000000000000005	0.00000177		123.16	0	1	0	0	0	1	1	0	1	1	1	1	"2"	0	"CNM"						1	9000
"104949"	"104-94-9"	34	"<Not Assigned>"	104949	"Anisidine"	"p-Anisidine"	"p-Anisidine"	1987																												0.254	22		0.95		15400	92.09	0.38	0.0	99.61	99.0	3.1	0.000000066		123.16	0	0	0	0	0	0	0	0	1	1	1	0		0	"CNM"						0	
"134292"	"134-29-2"	35	"<Not Assigned>"	134292	"Anisidine hydrochloride"	"o-Anisidine hydrochloride"	"o-Anisidine hydrochloride"	1987																												0.0147	104		-1.28		845000	45.63	2.48	0.13	97.39	99.0	4.6000000000000005	0.0000000000000104		159.62	0	0	0	0	0	0	1	0	1	1	1	0		0	"CNM"						0	
"120127"	"120-12-7"	36	"<Not Assigned>"	120127	"Anthracene"	"Anthracene"	"Anthracene"	1987	"IRIS 4/1997"							0.3	3000	1	"L"	"7/1/1993"	"IRIS"			"D"					"1/1/1991"	"IRIS"	1.7	1.7	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.108	25000	0.6	4.45		0.0434	94.15	33.45	2.19	64.37	99.0	1900	0.0000556		178.24	0	0	0	1	0	1	0	0	1	1	1	0		0	"CNM"						1	1.7
"7440360"	"7440-36-0"	37	"<Not Assigned>"	7440360	"Antimony"	"Antimony"	"Antimony"	1987	"IRIS 4/1997, CalEPA 5/2001"	2.0E-4				"CalEPA"	"1996"	4.0E-4	1000	1	"L"	"2/1/1991"	"IRIS"										9000	1300	"Non-carcinogen"	"Non-carcinogen"	"Non-carcinogen"		14		0.73	9	22970	31.51	100.0	0.0	0.0		1	0.0245	0.0060	124.77	0	1	0	1	1	1	0	0	1	1	1	0		0	"CM"						1	9000
"N010"	"N010"	38	"<Not Assigned>"	10	"Antimony compounds"	"Antimony compounds"	"Antimony compounds"	1987	"IRIS 4/1997, CalEPA 5/2001"	2.0E-4				"CalEPA"	"1996"	4.0E-4	1000	1	"L"	"2/1/1991"	"IRIS"										9000	1300	"Non-carcinogen"	"Non-carcinogen"	"Non-carcinogen"		14		0.73	9	22970	31.51	100.0	0.0	0.0		1	0.0245	0.0060	124.77	0	1	0	0	0	1	0	0	1	1	1	0		0	"CM"						1	9000
"7440382"	"7440-38-2"	39	"<Not Assigned>"	7440382	"Arsenic"	"Arsenic"	"Arsenic"	1987	"IRIS 6/2000, CalEPA 11/2003"	3.0E-5				"CalEPA"	"1/2001"	3.0E-4	3	1	"M"	"2/1/1993"	"IRIS"	4.3	1.5	"A"	"4/10/1998"	"IRIS"	"4/10/1998"	"IRIS"	"4/10/1998"	"IRIS"	60000	3000	"Carcinogen"	"Non-carcinogen"	"Mixed"		14		0.68	38	34710	48.57	100.0	0.0	0.0	97.5	44	0.773	0.05	77.95	0	0	0	1	1	1	1	0	1	1	1	0		0	"CM"						1	60000
"N020"	"N020"	40	"<Not Assigned>"	20	"Arsenic compounds"	"Arsenic compounds"	"Arsenic compounds"	1987	"IRIS 6/2000, CalEPA 11/2003"	3.0E-5				"CalEPA"	"1/2001"	3.0E-4	3	1	"M"	"2/1/1993"	"IRIS"	4.3	1.5	"A"	"4/10/1998"	"IRIS"	"4/10/1998"	"IRIS"	"4/10/1998"	"IRIS"	60000	3000	"Carcinogen"	"Non-carcinogen"	"Mixed"		14		0.68	38	34710	48.57	100.0	0.0	0.0	97.5	44	0.773	0.05	77.95	0	1	0	0	0	1	1	0	1	1	1	0		0	"CM"						1	60000
"1332214"	"1332-21-4"	41	"<Not Assigned>"	1332214	"Asbestos (friable)"	"Asbestos (friable)"	"Asbestos (friable)"	1987	"IRIS 4/1997"													0.23		"A"	"7/1/1993"	"IRIS"			"7/1/1993"	"IRIS"	1000000		"n/a"	"Carcinogen"	"Carcinogen"														7.0	554.22	0	1	0	1	1	1	1	0	1	1	1	0		0	"CNM"						1	1000000
"1912249"	"1912-24-9"	42	"<Not Assigned>"	1912249	"Atrazine (6-Chloro-N-ethyl-N'-(1-methylethyl)1,3,5,-triazine"	"6-Chloro-N-ethyl-N'-(1-methylethyl)1,3,5- triazine-2,4-diamine"	"Atrazine"	1995	"OPP 11/2003"							0.018	100			"4/2002"	"OPP"			"E"					"12/13/2000"	"OPP"	28	28	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.074	570	3.3E-6	2.61		34.7	25.68	11.21	0.0	88.79	99.0	8.8	0.00000000236	0.0030	215.69	0	0	0	0	1	0	1	1	0	1	1	1	"0"	0	"NM"						1	28
"492808"	"492-80-8"	43	"<Not Assigned>"	492808	"C.I. Solvent Yellow 34 (Auramine)"	"C.I. Solvent Yellow 34 (Auramine)"	"Auramine"	1987																												0.554	489	3.9E-4	2.98		53.54	50.47	4.95	0.0	95.05	99.0	110	0.00000000364		267.38	0	0	0	0	0	1	1	0	1	1	1	0		0	"CNM"						0	
"7440393"	"7440-39-3"	44	"<Not Assigned>"	7440393	"Barium"	"Barium"	"Barium"	1987	"IRIS 6/2000"							0.07	3	1	"M"	"1/21/1999"	"IRIS"			"D"					"3/30/1998"	"IRIS"	7.1000000000000005	7.1000000000000005	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"		14		0.23	31	54760	69.02	100.0	0.0	0.0		3.2		2.0	139.36	0	0	0	0	1	0	0	0	1	1	1	0		0	"CM"						1	7.1000000000000005
"N040"	"N040"	45	"<Not Assigned>"	40	"Barium compounds"	"Barium compounds"	"Barium compounds"	1987	"IRIS 6/2000"							0.07	3	1	"M"	"1/21/1999"	"IRIS"			"D"					"3/30/1998"	"IRIS"	7.1000000000000005	7.1000000000000005	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"		14		0.23	31	54760	69.02	100.0	0.0	0.0		3.2		2.0	139.36	0	0	0	0	0	0	0	0	1	1	1	0		0	"CM"						1	7.1000000000000005
"22781233"	"22781-23-3"	46	"<Not Assigned>"	22781233	"Bendiocarb"	"2,2-Dimethyl-1,3-benzodioxol-4-ol methylcarbamate"	"Bendiocarb"	1995	"OPP 2/1997, OPP 8/2000, OPP 11/2003"							0.0050	100			"3/3/1987"	"OPP"			"E"					"12/16/1997"	"OPP"	100	100	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.0644	210	0.00233	1.7		260	76.54	0.94	0.026	99.05	99.0	12	0.000000039		223.23	0	0	0	0	0	1	0	1	0	1	1	0		0	"NM"						1	100
"1861401"	"1861-40-1"	47	"<Not Assigned>"	1861401	"Benfluralin (N-Butyl-N-ethyl-2,6-dinitro-4-(trifluoromethyl)"	"N-Butyl-N-ethyl-2,6-dinitro-4-(trifluoromethyl)benzenamine"	"Benfluralin"	1995	"OPP 11/2003"							0.0050	100			"4/2001"	"OPP"										100	100	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.06	10700		5.29		0.1	97.2	57.94	0.32	41.74	99.0	6200	0.000291		335.29	0	0	0	0	0	0	0	1	0	1	1	0		0	"NM"						1	100
"17804352"	"17804-35-2"	48	"<Not Assigned>"	17804352	"Benomyl"	"Benomyl"	"Benomyl"	1995	"OPP 8/2000, OPP 11/2003"							0.13	100			"3/2001"	"OPP"		0.00239	"C"			"9/21/2000"	"OPP"	"9/21/2000"	"OPP"	3.8000000000000003	3.8000000000000003	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.575	2100	9.43E-8	2.12		3.8000000000000003	51.31	2.71	0.0	97.29	99.0	24	0.00000000000493		290.32	0	0	0	0	0	1	0	1	0	1	1	1	"0"	0	"NM"						1	3.8000000000000003
"98873"	"98-87-3"	49	"<Not Assigned>"	98873	"Benzal chloride"	"Benzal chloride"	"Benzal chloride"	1987																												0.00619		5.62	2.97		250	99.99	0.1	0.04	99.86	99.0		0.000398		161.03	0	0	0	0	0	1	0	0	1	1	1	1	"0"	0	"CNM"						0	
"55210"	"55-21-0"	50	"<Not Assigned>"	55210	"Benzamide"	"Benzamide"	"Benzamide"	1987																												0.0102	23		0.64		13500	92.07	0.37	0.0	99.63	99.0	2.9	0.000000000245		121.14	0	0	0	0	0	0	0	0	1	1	1	0		0	"CNM"						0	
"71432"	"71-43-2"	51	"<Not Assigned>"	71432	"Benzene"	"Benzene"	"Benzene"	1987	"IRIS 11/2003"	0.03	300	1	"M"	"IRIS"	"4/17/2003"	0.0040	300	1	"M"	"4/17/2003"	"IRIS"	0.0078	0.055	"A"	"1/19/2000"	"IRIS"	"1/19/2000"	"IRIS"	"1/19/2000"	"IRIS"	60	130	"Non-carcinogen"	"Non-carcinogen"	"Non-carcinogen"	0.00332	29		2.13		1790	94.09	0.62	18.34	81.04	99.0	5	0.00555	0.0050	78.12	1	1	0	1	1	1	1	0	1	1	1	1	"2"	0	"CNM"						1	130
"92875"	"92-87-5"	52	"<Not Assigned>"	92875	"Benzidine"	"Benzidine"	"Benzidine"	1987	"IRIS 4/1997"							0.0030	1000	1	"M"	"2/1/1995"	"IRIS"	67.0	230.0	"A"	"8/1/1992"	"IRIS"	"8/1/1992"	"IRIS"	"8/1/1992"	"IRIS"	480000	460000	"Carcinogen"	"Carcinogen"	"Carcinogen"	0.415	174000		1.34		322	75.24	0.89	0.0	99.11	99.0	93	0.0000000000388		184.24	0	1	0	1	0	1	1	0	1	1	1	0		0	"CNM"						1	480000
"98077"	"98-07-7"	53	"<Not Assigned>"	98077	"Benzotrichloride"	"Benzotrichloride"	"Benzotrichloride"	1987	"IRIS 4/1997"														13.0	"B2"			"7/1/1993"	"IRIS"	"7/1/1993"	"IRIS"	26000	26000	"Carcinogen"	"Carcinogen*"	"Carcinogen"	9.65E-4		130.0	3.9		53	100.0	0.03	0.0	99.97	99.0		0.00026		195.48	0	1	0	0	0	1	1	0	1	1	1	1	"2,4"	0	"CNM"						1	26000
"94360"	"94-36-0"	54	"<Not Assigned>"	94360	"Benzoyl Peroxide"	"Benzoyl Peroxide"	"Benzoyl peroxide"	1987																												0.0096		19.6	3.46		9.1	96.7	5.18	0.021	94.8	99.0		0.00000354		242.23	0	0	0	0	0	0	0	0	1	1	1	1	"2"	0	"CNM"						0	
